0,Nichelino
1,Pinerolo
2,San Mauro Torinese
3,Torino
4,Novara
5,Alba
6,Savigliano
7,Alessandria
8,Tortona
9,Caronno Pertusella
10,Cassano Magnago
11,Gallarate
12,Saronno
13,Cernobbio
14,Lomazzo
15,Bareggio
16,Cernusco sul Naviglio
17,Cinisello Balsamo
18,Cologno Monzese
19,Cusano Milanino
20,Garbagnate Milanese
21,Gorgonzola
22,Legnano
23,Milano
24,Paderno Dugnano
25,Rho
26,San Giuliano Milanese
27,Senago
28,Sesto San Giovanni
29,Solaro
30,Vittuone
31,Baranzate
32,Bergamo
33,Seriate
34,Chiari
35,Lecco
36,Lodi
37,Bovisio-Masciago
38,Cesano Maderno
39,Limbiate
40,Lissone
41,Muggiò
42,Trento
43,Cavaion Veronese
44,Verona
45,Schio
46,Vicenza
47,Conegliano
48,Montebelluna
49,Chioggia
50,Portogruaro
51,San Donà di Piave
52,Padova
53,Rovigo
54,Gorizia
55,Pordenone
56,Chiavari
57,Fidenza
58,Modena
59,Forlì
60,Massa
61,Lucca
62,Firenze
63,Impruneta
64,Piombino
65,Rosignano Marittimo
66,San Miniato
67,Arezzo
68,Grosseto
69,Spoleto
70,Fano
71,Ancona
72,Jesi
73,Osimo
74,Civitanova Marche
75,Ascoli Piceno
76,Guidonia Montecelio
77,Monterotondo
78,Nettuno
79,Aprilia
80,Gaeta
81,Minturno
82,Teramo
83,Campobasso
84,Aversa
85,Acerra
86,Afragola
87,Casalnuovo di Napoli
88,Castellammare di Stabia
89,Giugliano in Campania
90,Portici
91,Pozzuoli
92,Quarto
93,Volla
94,Avellino
95,Bagnoli Irpino
96,Scafati
97,Cerignola
98,Foggia
99,Manfredonia
100,Orta Nova
101,San Severo
102,Altamura
103,Bari
104,Molfetta
105,Santeramo in Colle
106,Taranto
107,Lecce
108,Andria
109,Canosa di Puglia
110,Castrovillari
111,Cosenza
112,Rende
113,Catanzaro
